 Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,Label
4.0,2.0,148.0,252.0,74.0,0.0,37.0,42.72391992003231,126.0,126.0,126.0,0.0,3695.7305073314055,55.43595760997109,21646.6,29637.290105541026,54372.0,2.0,108233.0,36077.66666666667,62482.28950937484,108226.0,3.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,80.0,40.0,36.957305073314046,18.478652536657027,0.0,126.0,67.71428571428571,51.77423518094139,2680.5714285714294,0.0
4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79549.40356309584,418.0,154.14927829866735,527.0,309.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,128.0,192.0,30934.75140933948,48614.65215375635,0.0,0.0,0.0,0.0,0.0,4.0
148075.0,6.0,64667648.0,184.0,1103708.0,869112.0,1076028.0710378245,68480.66059534124,92.0,92.0,92.0,0.0,inf,inf,443526.8771690389,895996.6308284998,3473220.0,935.0,10237042.0,419524.0105023723,859918.924864077,3415180.0,934.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,141888.0,168.0,402242768.3220488,242.9165200006348,869112.0,1103708.0,1078833.2984725782,66510.5294274512,5889841.884099159,2520.0
4984.0,0.0,2171072.0,0.0,20680.0,9736.0,20461.12000000001,1539.8787390275552,0.0,0.0,0.0,0.0,879192524.6559435,2002017.8546662047,6487.4319028458585,12601.91800286396,92027.0,50.0,730193.0,6487.4319028458585,12601.91800286396,92027.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99680.0,0.0,2002017.8546662044,0.0,9736.0,20680.0,20463.287128712873,1532.3147870893488,61789.17386138619,47.0
1237.0,42.0,531798.0,7770.0,3728.0,3080.0,3163.3714285714286,155.48521505545258,976.0,0.0,185.00000000000009,343.15921072067863,306856183.78000563,697404.5872215882,167515.92508595609,389899.81383690116,2066037.0,10.0,12875862.0,372988.6534141295,693703.439424711,2514696.0,10.0,12234126.0,298393.3170731708,491651.8658391545,2054260.0,1.0,0.0,0.0,0.0,0.0,32432.0,1400.0,697401.2648218505,3.3223997376886296,3080.0,4056.0,3217.025641025641,276.016608495156,76185.16816516819,8.0
103.0,106.0,34870.0,40282.0,4750.0,156.0,1255.855511155511,1763.175339923877,8284.0,445.0,2300.5702380952384,2856.144948952505,,inf,310612.2471014493,237168.8315551987,810399.0,200535.0,1242505.0,135148.28095238097,239341.9551483399,563818.0,17.0,796101.0,90841.89403527914,202693.16185888514,500571.0,28.0,0.0,0.0,0.0,0.0,2204.0,2264.0,690943.0319524078,47771.96352199089,156.0,8284.0,1696.075619416045,2615.4685124275793,1683953.229223833,0.0
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42287.90077846682,196.0,70.71067811865477,246.0,146.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,96.0,16426.969257157936,25860.931521308878,0.0,0.0,0.0,0.0,0.0,2.0
128511.0,0.0,56122176.0,0.0,975120.0,774600.0,954878.8358568498,54256.08747635449,0.0,0.0,0.0,0.0,inf,inf,567064.734940668,1068708.5642123686,3990848.0,1415.0,11929809.0,567064.734940668,1068708.5642123686,3990848.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58686.0,0.0,498833902.3260079,0.0,774600.0,975120.0,956738.5412787682,52859.9622403445,4330669.951103014,2241.0
6002.0,0.0,2640880.0,0.0,13640.0,13640.0,13640.0,0.0,0.0,0.0,0.0,0.0,957749390.6617495,2176703.1605948852,7064.70351758794,26792.447551437213,315411.0,31.0,1405678.0,7064.70351758794,26792.447551437213,315411.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,0.0,2176703.1605948852,0.0,13640.0,13640.0,13640.0,0.0,0.0,31.0
5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3812380905212145,844652.8333333335,2042019.8720188213,5012668.0,2.0,5067917.0,1266979.25,2497261.6134512057,5012668.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,124.0,64.0,0.9865986360865816,0.3946394544346327,0.0,0.0,0.0,0.0,0.0,0.0
5024.0,25.0,2201522.0,1316.0,11761.0,11761.0,11761.0,0.0,658.0,658.0,658.0,0.0,362596898.60333604,830845.4373274193,145949.3015075377,244895.8109414625,653767.0,44.0,1120055.0,5651.301507537689,24589.00049122,304166.0,48.0,744.0,380.5,512.652416360247,743.0,18.0,0.0,0.0,0.0,0.0,716576.0,656.0,826098.6641293773,4746.773198041844,11761.0,12098.0,11895.799999999997,184.582501879241,4678.500000000001,28.0
206577.0,2.0,90496170.0,0.0,1330369.0,1142449.0,1308165.1448162713,54886.09575132147,0.0,0.0,0.0,0.0,inf,inf,1001858.7432420286,2256974.1318285465,10141005.0,1386.0,27583918.0,983628.076575362,2225395.9588393853,10086311.0,1388.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3714991.0,64.0,425564585.2693093,36.56240288111735,1142448.0,1330369.0,1310363.1887275763,53325.34896380975,4823802.110025772,3045.0
39.0,11.0,678.0,0.0,308.0,0.0,181.95000000000002,166.5763840962646,0.0,0.0,0.0,0.0,94132163.95014125,7479807.748722677,15090.25,26025.48873265363,45042.0,24.0,3595.0,1145.75,1998.5931799266332,3566.0,14.0,13.0,11.0,1.4142135623730951,12.0,10.0,7.0,0.0,0.0,0.0,780.0,220.0,7432315.942759973,47491.805962702936,0.0,308.0,207.06666666666663,147.54904419367273,2735.5333333333338,0.0
12.0,9.0,1746.0,4290.0,464.0,0.0,145.49999999999997,215.5565734642216,1073.0,0.0,476.66666666666674,565.2572423242358,1141.5689196703142,3.971661251338072,264373.0,1117558.0885893935,5004880.0,2.0,282580.0,25689.090909090908,84595.79547525343,280754.0,2.0,5287363.0,660920.375,1758022.3623146983,5004984.0,2.0,0.0,0.0,0.0,0.0,400.0,304.0,2.2695207150503265,1.7021405362877449,0.0,1073.0,274.3636363636364,420.3241997558943,176672.4329004329,1.0
8.0,7.0,926.0,2146.0,463.0,0.0,115.75,214.3273530973456,1073.0,0.0,306.57142857142856,523.570389136888,612.8796906393999,2.992576614450195,358028.7857142857,1337466.7002158726,5004914.0,2.0,7489.0,1069.857142857143,2446.206411880201,6590.0,2.0,5012253.0,835375.4999999999,2042700.5658563613,5005017.0,2.0,0.0,0.0,0.0,0.0,272.0,240.0,1.596040861040104,1.3965357534100908,0.0,1073.0,192.0,377.8511170642039,142771.4666666667,1.0
484.0,468.0,79512.0,203746.0,14581.0,1640.0,3683.506111331921,3926.9658487540364,35885.0,3860.0,9221.909783899448,8781.80350893741,31523959.121613193,3506573.9632945564,16921481.179745063,86386521.47708976,499065570.0,111.0,979758412.0,30986323.672100525,115840675.65743975,492660912.0,120.0,1010177148.0,35157066.36416002,122834374.3142252,494094192.0,117.0,1.0,0.0,0.0,0.0,10448.0,10056.0,3503303.2774940506,3270.6858005066415,1640.0,36288.0,6136.973454026695,8252.560247469746,4458661.9885757305,0.0
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36890.24390243902,221.5,82.73149339882606,280.0,163.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,96.0,14380.081300813006,22510.162601626012,0.0,0.0,0.0,0.0,0.0,2.0
14.0,4.0,302.0,252.0,151.0,0.0,83.25,86.32947857901672,126.0,126.0,126.0,0.0,32082623.87280069,2807530.9265654325,21867.8,29945.242458557743,54750.0,10.0,108918.0,36307.33333333333,62872.83983526033,108906.0,7.0,6.0,6.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,400.0,104.0,2792587.170909206,14943.755656226534,0.0,203.0,122.18095238095236,89.65208351580728,3400.1047619047627,0.0
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17803.89603834746,194539.83333333334,275128.8926255963,389287.0,8.0,0.0,0.0,0.0,0.0,0.0,844.0,425.0,589.7270555095806,842.0,8.0,0.0,0.0,0.0,0.0,84.0,200.0,5577.744075594764,12226.151962752698,0.0,0.0,0.0,0.0,0.0,2.0
142558.0,6.0,62212888.0,0.0,962280.0,715464.0,934254.555500454,70942.10371557075,0.0,0.0,0.0,0.0,inf,inf,712571.7085685751,1527155.786509279,6069406.0,1070.0,19319579.0,801118.9283487954,1621040.4961879887,6069519.0,1071.0,1343058.0,268611.6,460710.6630161712,1063880.0,1.0,0.0,0.0,0.0,0.0,2843860.0,0.0,361625048.9122863,4.467037728600657,715464.0,962280.0,936945.8716780205,68956.97606948196,6271381.513612356,2206.0
17.0,11.0,1520.0,4290.0,407.0,0.0,126.66666666666669,187.8061540928612,1073.0,0.0,476.66666666666674,565.2572423242358,1012.7842659693504,5.021920366894301,1143885.7166666666,3219366.2809000616,10147055.0,3.0,5874043.0,1352099.6363636365,2767531.570339697,5797226.0,5.0,5736618.0,717141.125,1747356.2596460187,5005133.0,75.0,0.0,0.0,0.0,0.0,576.0,384.0,3.0641336875565055,1.9577866793377954,0.0,1073.0,264.0909090909092,416.74325876124703,173674.94372294372,2.0
156.0,157.0,14238.0,80244.0,3927.0,374.0,1078.5957875457875,1247.4887178622823,13641.0,682.0,3687.0163576945934,3945.4006785778565,115114.2299346779,1796.3421517070958,4925082.243622248,24121424.003966074,141826515.0,27.0,188155778.0,9156685.96957793,32825247.260868125,141794005.0,31.0,72318595.0,3712348.854709384,7216452.712329182,23030917.0,36.0,0.0,0.0,0.0,0.0,3652.0,3708.0,898.3717276072614,897.9704240998342,374.0,14011.0,2403.967731651597,3488.1855341663213,2190367.9990942874,1.0
4.0,12.0,0.0,62.0,0.0,0.0,0.0,0.0,31.0,0.0,12.4,16.97939928266015,1027.476716051838,21358.540404047806,153192.4,226580.95467431165,342734.0,6.0,0.0,0.0,0.0,0.0,0.0,861.0,407.0,579.4584978970338,854.0,6.0,0.0,0.0,0.0,0.0,104.0,300.0,6662.024155334551,14696.516248713257,0.0,31.0,8.857142857142858,15.126451130702266,228.80952380952385,2.0
151317.0,4.0,66104690.0,1952.0,1179981.0,949704.0,1149645.2428246557,71805.5555731831,976.0,0.0,488.0,563.4938627290747,inf,inf,682971.8887729923,1443228.060218763,5363007.0,1142.0,15214299.0,730863.6506777537,1493484.6033097005,5363007.0,1142.0,493.0,164.33333333333334,245.61216039384803,447.0,3.0,0.0,0.0,0.0,0.0,-1896951099450.0,128.0,470977996.3673287,15.843717569890597,949704.0,1180936.0,1153005.1084090285,70089.04826335049,6544504.145809997,2695.0
12.0,9.0,1738.0,4290.0,461.0,0.0,144.83333333333331,214.5290119533881,1073.0,0.0,476.66666666666674,565.2572423242358,1112.253255711784,3.8748039764345497,270981.45,1117687.76821768,5004149.0,1.0,415480.0,37770.909090909096,121124.6927653107,402839.0,2.0,5419479.0,677434.875,1753945.667736395,5004271.0,2.0,0.0,0.0,0.0,0.0,400.0,304.0,2.2141737008197424,1.660630275614807,0.0,1073.0,274.0,420.1657269402612,176539.23809523808,1.0
56.0,63.0,3408.0,11944.0,1068.0,146.0,271.0048309178744,258.0778955764606,4478.0,536.0,944.2625,955.6517526682476,31087.18416619724,274.55196584889444,1427627.9651416126,3807246.5844978783,12576276.0,12.0,71081305.0,2803672.5944055947,5107328.73934023,12561882.0,12.0,70730505.0,2855694.97311828,5063643.9962895,12532694.0,15.0,0.0,0.0,0.0,0.0,1524.0,1764.0,136.84130035837404,137.71066549052046,146.0,4478.0,561.343665768194,922.6947840443572,317216.77303451253,1.0
150171.0,0.0,65583768.0,0.0,1187680.0,952384.0,1157762.4250910068,72290.9169204864,0.0,0.0,0.0,0.0,inf,inf,640934.2484628962,1412044.5697902052,5644449.0,1663.0,15237752.0,640934.2484628962,1412044.5697902052,5644449.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-379387789339.0,0.0,460526991.98910713,0.0,952384.0,1187680.0,1160664.5994802893,70143.26914754414,6464801.040596325,2723.0
6.0,3.0,804.0,0.0,201.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,53600000.0,307689.47755702725,210.0,74.77064299209243,264.0,157.0,15.0,5.0,2.6457513110645907,8.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,144.0,96.0,282548.4424822174,25141.035074809908,201.0,201.0,201.0,0.0,0.0,2.0
235.0,477.0,20948.0,977534.0,7170.0,248.0,1405.7180195621372,2237.5072419138137,13138.0,994.0,5643.65347985348,3911.151963685933,430452.09153534216,168297.77390471924,2622196.767987407,9209265.098941486,47772719.0,289737.0,60797982.0,4069654.832972225,12650657.055132825,47267105.0,27.0,13505593.0,81957.31499328956,775604.2092344454,13123265.0,46.0,0.0,0.0,0.0,0.0,4964.0,9780.0,56660.159636100936,111637.61426861833,248.0,13801.0,4011.5366375649874,4450.303933416594,3034683.5284827654,0.0
154.0,134.0,12006.0,127532.0,3313.0,114.0,655.2431815890302,966.3043526862706,14923.0,323.0,5283.284250585481,5796.454135651131,inf,inf,1075586.4818250528,7649172.002159272,58798883.0,38852.0,117415397.0,2100148.0940832477,10903578.951057801,58756346.0,26.0,117127204.0,1971351.3373303171,10614069.25906786,58715106.0,15.0,4.0,0.0,0.0,0.0,3272.0,2848.0,5007076.545150964,13116.136349937706,114.0,15054.0,2809.1015873015863,4715.087136375192,4122896.7052510395,0.0
2.0,2.0,86.0,196.0,43.0,43.0,43.0,0.0,98.0,98.0,98.0,0.0,13532.319209175104,191.9477902010653,6946.333333333334,12026.206107219905,20833.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,64.0,95.97389510053266,95.97389510053266,43.0,98.0,65.0,30.124740662784134,907.5,0.0
17.0,14.0,2520.0,4290.0,657.0,0.0,193.84615384615384,303.04340892404787,1073.0,0.0,536.25,573.2754884994523,1389.1730585286557,82257.83037349484,245502.85,1013198.9962555371,4535603.0,287.0,4902197.0,408516.41666666674,1303768.6971945085,4535102.0,3.0,366892.0,52418.28571428571,138249.3782767386,365938.0,8.0,0.0,0.0,0.0,0.0,560.0,464.0,32259.210409605035,49998.61996388982,0.0,1073.0,309.5454545454545,440.96957321584506,194454.1645021645,5.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.55400696864112,27552.0,61531.02475987216,137622.0,3.0,137760.0,45920.0,79530.57693114014,137754.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,80.0,40.0,29.036004645760745,14.518002322880372,0.0,0.0,0.0,0.0,0.0,1.0
366.0,339.0,36134.0,86138.0,11888.0,587.0,1867.2947615005257,3185.357864559243,26773.0,1432.0,4910.217200577201,7231.022838848238,197426.34699157916,41924.04488335458,15488464.18746427,37172767.677247874,109737448.0,42.0,919895481.0,30142180.193835054,47978162.288290404,110299892.0,52.0,875949588.0,30204658.620033264,46263960.71383286,101335239.0,47.0,0.0,0.0,0.0,0.0,7752.0,7948.0,20962.67661681934,20961.368266535246,587.0,27145.0,3182.866886590721,6101.248160160775,3235993.9667794844,1.0
135094.0,0.0,59054144.0,0.0,903800.0,716312.0,883044.3735569906,53357.62587426459,0.0,0.0,0.0,0.0,inf,inf,462191.21478009026,927907.8250943308,4138254.0,898.0,14560559.0,462191.21478009026,927907.8250943308,4138254.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701880.0,0.0,362002922.4674292,0.0,716312.0,903800.0,884952.9664046862,51879.122392199235,4575884.440850079,2068.0
8010.0,6.0,3522070.0,2146.0,20835.0,20240.0,20388.75,275.43147968233404,1073.0,0.0,357.66666666666663,554.0948173974077,1917758350.8679795,4364501.021112547,5745.793559361891,8258.864930058664,49828.0,48.0,964430.0,5816.80454837288,8362.858498232186,50043.0,48.0,886.0,177.2,244.91263748528783,501.0,1.0,0.0,0.0,0.0,0.0,89072.0,208.0,4358929.990471878,5571.030640668523,20240.0,21313.0,20462.4,402.561583576263,162055.82857142854,47.0
13436.0,0.0,5878560.0,0.0,96488.0,83240.0,94656.42241159806,4220.7910769415275,0.0,0.0,0.0,0.0,inf,inf,32816.06103855928,61806.58583880473,227137.0,110.0,747875.0,32816.06103855928,61806.58583880473,227137.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21982.0,0.0,50378536.596297055,0.0,83240.0,96488.0,94856.06175331328,4091.839523557735,350548.4552835085,226.0
5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3604459952776425,3236730.833333333,7928195.4366016835,19420092.0,2.0,19420385.0,4855096.25,9709997.16758961,19420092.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,176.0,80.0,0.2574614251983161,0.1029845700793264,0.0,0.0,0.0,0.0,0.0,1.0
1394.0,0.0,606592.0,0.0,7920.0,4536.0,7844.4,499.60844004308734,0.0,0.0,0.0,0.0,925248402.4253855,2103904.466014571,3219.6040404040405,9170.72531218667,74235.0,15.0,261726.0,3219.6040404040405,9170.72531218667,74235.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19696.0,0.0,2103904.466014571,0.0,4536.0,7920.0,7845.28608650339,496.8018589750241,17510.835226680574,18.0
40.0,40.0,1300.0,3240.0,650.0,650.0,650.0,0.0,1620.0,1620.0,1620.0,0.0,183587.44150801818,3201.3752455714143,192535.66666666672,333349.92733622144,577455.0,46.0,85.0,85.0,0.0,85.0,85.0,67.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,800.0,800.0,1600.6876227857072,1600.6876227857072,650.0,1620.0,1038.0,531.2908807800111,32722.2,0.0
177784.0,6.0,77605120.0,0.0,1281320.0,999080.0,1248521.7763670299,82843.72567817439,0.0,0.0,0.0,0.0,inf,inf,909470.9664272637,1880498.9629289093,6073146.0,1502.0,12273918.0,1072804.9300636272,2043209.0772427157,6073242.0,1502.0,1497271.0,299454.2,535984.6222763299,1236782.0,1.0,0.0,0.0,0.0,0.0,3516100.0,0.0,531877832.49019766,4.007140724771543,999080.0,1281320.0,1251602.2210355606,80527.48756032618,7172015.2299367655,2972.0
804.0,0.0,353760.0,0.0,2200.0,2200.0,2200.0,0.0,0.0,0.0,0.0,0.0,26316627.673395973,59810.51743953629,713.0335008375206,1559.176306142044,17102.0,4.0,134511.0,713.0335008375206,1559.176306142044,17102.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17520.0,0.0,59810.51743953631,0.0,2200.0,2200.0,2200.0,0.0,0.0,5.0
34.0,30.0,1764.0,3018.0,486.0,0.0,93.90476190476191,148.78897627492842,1022.0,0.0,148.75,299.22400212748886,1330.657120175313,14.177506665976601,6251138.250000001,18252740.61774935,59791387.0,3.0,114418937.0,9427819.449999997,22082989.0123951,59992119.0,3.0,61094860.0,11741233.373913042,26332466.522313677,59853409.0,4.0,1.0,0.0,0.0,0.0,948.0,904.0,6.653337976270507,7.524168689706096,0.0,1022.0,121.00869565217383,238.05401224141823,47223.57681159419,1.0
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.152562614305,18623.5,26279.819012454478,37336.0,4.0,0.0,0.0,0.0,0.0,0.0,625.0,313.5,437.69909755447287,623.0,4.0,0.0,0.0,0.0,0.0,64.0,160.0,1285.0969757980595,3828.055586816245,0.0,0.0,0.0,0.0,0.0,2.0
68.0,58.0,5183.0,8988.0,1233.0,0.0,280.75757575757575,434.76963265272576,2095.0,46.0,641.4561403508773,843.3858493540847,1556.377703360772,20.01383138973955,10277468.266666668,28960891.165655117,90730156.0,364790.0,96964360.0,14929246.71401515,33892747.955534086,89084687.0,1037467.0,17945232.0,1287839.073198198,2460122.8332826896,7043153.0,14.0,1.0,0.0,0.0,0.0,2108.0,1860.0,10.23291908969366,9.780912300045895,0.0,2095.0,421.070707070707,677.1326303752904,234805.48135276302,4.0
88506.0,5.0,38650384.0,0.0,588460.0,446280.0,570825.6048959305,43032.65614400239,0.0,0.0,0.0,0.0,inf,inf,392997.04918862466,796368.2438630019,2493391.0,367.0,6239634.0,347218.7158552915,731617.5074761318,2401634.0,364.0,806.0,404.0,567.0996385116111,805.0,3.0,1.0,0.0,0.0,0.0,1328596.0,160.0,219290845.2290258,3351.62239414318,446280.0,588460.0,572527.8390439044,41753.1139844641,3793264.5196190365,1347.0
159156.0,6.0,69430246.0,0.0,1223711.0,942248.0,1188488.6602811993,85278.13817939565,0.0,0.0,0.0,0.0,inf,inf,2424574.07980582,4624772.474421756,11988948.0,1430.0,21155754.0,2424356.57980582,4624532.765222935,11988561.0,1382.0,48.0,48.0,0.0,48.0,48.0,6.0,0.0,0.0,0.0,256770.0,120.0,452896782.4443174,41404.66997609855,942248.0,1223711.0,1191992.3124394547,82773.33813903762,7384073.109267708,2806.0
